Account,Compound,Date,Negative,Neutral,Positive,Tweet,Tweets Ago
@BBCWorld,-0.765,Thu Sep 27 21:30:21 +0000 2018,0.548,0.452,0.0,Brett Kavanaugh denies Christine Blasey Ford sex assault claim https://t.co/i0EILgHDdO,1
@BBCWorld,0.6124,Thu Sep 27 21:02:24 +0000 2018,0.53,0.152,0.318,"""This is not a job interview, this is hell"" - Senator Lindsey Graham offers strong support to US Supreme Court nomi… https://t.co/gl2TG2WICz",2
@BBCWorld,-0.5859,Thu Sep 27 20:52:01 +0000 2018,0.758,0.242,0.0,"Tense exchanges as Brett Kavanaugh faces questions in front of Senate Judiciary Committee, after denying allegation… https://t.co/2CyGyZxKsb",3
@BBCWorld,-0.5859,Thu Sep 27 20:30:11 +0000 2018,0.647,0.259,0.095,RT @BBCBreaking: Tesla chief executive Elon Musk accused of fraud by the US Securities and Exchange Commission https://t.co/Qf8jtsrv8G,4
@BBCWorld,-0.5859,Thu Sep 27 20:28:18 +0000 2018,0.703,0.297,0.0,RT @BBCBusiness: US regulator alleges Elon Musk Tesla fraud https://t.co/8NBCt4Xfl1,5
@BBCWorld,0.5994,Thu Sep 27 20:00:52 +0000 2018,0.795,0.0,0.205,"US Supreme Court nominee Brett Kavanaugh asks to be judged by standard people would want applied to ""your father, y… https://t.co/sj9t6mBV9p",6
@BBCWorld,0.9325,Thu Sep 27 19:51:51 +0000 2018,0.548,0.0,0.452,"""Those are some awesome women and I love all of them""

Brett Kavanaugh praises women who have supported him since a… https://t.co/Cv7KsNafJa",7
@BBCWorld,0.0,Thu Sep 27 19:44:16 +0000 2018,1.0,0.0,0.0,#KavanaughHearings latest: https://t.co/aWkMrEnAg6 https://t.co/jJTSzVcpsd,8
@BBCWorld,0.5859,Thu Sep 27 19:32:48 +0000 2018,0.769,0.0,0.231,"""I am innocent of this charge"": Brett Kavanaugh breaks down while giving testimony at Senate Judiciary Committee… https://t.co/CynWHbeMNK",9
@BBCWorld,0.0352,Thu Sep 27 19:18:58 +0000 2018,0.739,0.128,0.133,"RT @BBCBreaking: ""My family and my name have been totally and permanently destroyed"" - US Supreme Court nominee Brett Kavanaugh reacts to s…",10
